cust_id,dob,age,gender,city_code,order_status,confirmed_yn,transaction_id,tran_date,prod_cat_code,prod_sub_cat_code,prod_cat,prod_subcat,qty,rate,tax,total_amt,store_type
272172,1975-09-17,36,M,10.0,Ordered,1.0,3268991,2011-08-02,6,11,Home and kitchen,Bath,3,91,28.665,301.665,e-Shop
269640,1970-04-29,43,M,7.0,Ordered,1.0,7073244,2013-05-11,5,12,Books,Academic,4,1385,581.7,6121.7,MBR
272671,1974-04-01,39,F,7.0,Ordered,1.0,10861359,2013-10-25,4,4,Bags,Women,2,103,21.63,227.63,Flagship store
271544,1986-05-08,25,F,5.0,Ordered,1.0,15741026,2011-03-28,5,12,Books,Academic,1,299,31.395,330.395,e-Shop
273203,1984-02-29,29,M,2.0,Ordered,1.0,16165359,2013-08-01,1,4,Clothing,Mens,2,580,121.8,1281.8,e-Shop
273648,1989-08-14,23,F,6.0,Ordered,1.0,18629385,2012-01-16,6,12,Home and kitchen,Tools,3,1174,369.81,3891.81,e-Shop
269719,1992-12-04,19,F,8.0,Ordered,1.0,29740699,2011-03-31,5,7,Books,Fiction,3,1136,357.84,3765.84,TeleShop
267524,1975-10-19,36,M,6.0,Ordered,1.0,33156503,2011-09-24,2,1,Footwear,Mens,3,545,171.675,1806.675,e-Shop
274437,1976-04-14,35,M,6.0,Ordered,1.0,38816402,2011-04-12,5,12,Books,Academic,3,543,171.045,1800.045,TeleShop
269572,1986-01-10,26,M,2.0,Ordered,1.0,41453307,2012-08-04,5,6,Books,DIY,4,552,231.84,2439.84,e-Shop
272070,1972-05-18,41,F,10.0,Ordered,1.0,43751965,2013-08-30,6,10,Home and kitchen,Kitchen,2,1020,214.2,2254.2,Flagship store
274455,1970-09-08,42,F,10.0,Ordered,1.0,46735492,2012-12-27,5,10,Books,Non-Fiction,3,1332,419.58,4415.58,TeleShop
268804,1987-05-19,26,M,1.0,Ordered,1.0,49441287,2013-11-23,6,11,Home and kitchen,Bath,3,279,87.885,924.885,Flagship store
274729,1990-05-27,22,F,4.0,Ordered,1.0,50715455,2012-09-27,2,4,Footwear,Kids,2,324,68.04,716.04,e-Shop
271834,1980-05-12,31,M,9.0,Ordered,1.0,57046404,2011-02-22,6,10,Home and kitchen,Kitchen,4,883,370.86,3902.86,e-Shop
273040,1986-11-04,25,F,2.0,Ordered,1.0,71435868,2011-12-26,4,4,Bags,Women,3,629,198.135,2085.135,Flagship store
270504,1987-05-24,26,F,1.0,Ordered,1.0,71732615,2013-06-01,3,4,Electronics,Mobiles,1,966,101.43,1067.43,MBR
274183,1988-02-07,24,F,7.0,Ordered,1.0,81900697,2012-04-21,3,10,Electronics,Audio and video,1,936,98.28,1034.28,Flagship store
273631,1988-06-09,25,M,9.0,Ordered,1.0,86102715,2013-01-15,5,3,Books,Comics,5,421,221.025,2326.025,e-Shop
268666,1978-12-11,33,M,3.0,Canceled,0.0,87125650,2011-08-09,4,1,Bags,Mens,-5,-359,188.475,-1983.475,e-Shop
268666,1978-12-11,33,M,3.0,Ordered,0.0,87125650,2011-08-05,4,1,Bags,Mens,5,359,188.475,1983.475,e-Shop
274960,1971-04-24,40,F,9.0,Ordered,1.0,89701436,2011-04-02,5,7,Books,Fiction,4,1111,466.62,4910.62,e-Shop
267753,1977-04-11,36,F,5.0,Ordered,1.0,92736388,2013-06-22,4,4,Bags,Women,4,429,180.18,1896.18,e-Shop
269136,1976-07-01,35,M,4.0,Canceled,0.0,95570369,2011-09-26,6,12,Home and kitchen,Tools,-1,-376,39.48,-415.48,e-Shop
269136,1976-07-01,35,M,4.0,Ordered,0.0,95570369,2011-09-16,6,12,Home and kitchen,Tools,1,376,39.48,415.48,e-Shop
269254,1979-05-27,34,F,7.0,Ordered,1.0,103700356,2013-07-02,3,4,Electronics,Mobiles,5,1214,637.35,6707.35,Flagship store
275125,1975-09-19,37,F,3.0,Ordered,1.0,109925209,2012-02-29,5,6,Books,DIY,3,132,41.58,437.58,MBR
271509,1981-06-08,30,M,3.0,Ordered,1.0,115261786,2011-06-02,5,7,Books,Fiction,4,1172,492.24,5180.24,e-Shop
269965,1977-08-09,34,M,3.0,Ordered,1.0,117003344,2011-12-12,3,5,Electronics,Computers,2,551,115.71,1217.71,TeleShop
271735,1992-06-05,19,M,8.0,Ordered,1.0,126890765,2011-04-29,6,12,Home and kitchen,Tools,2,379,79.59,837.59,MBR
266910,1988-09-28,25,M,6.0,Ordered,1.0,141709406,2013-08-07,6,2,Home and kitchen,Furnishing,3,361,113.715,1196.715,Flagship store
272741,1973-11-09,38,F,7.0,Ordered,1.0,141765672,2011-04-10,3,10,Electronics,Audio and video,1,705,74.025,779.025,e-Shop
269672,1982-11-16,29,F,10.0,Ordered,1.0,144313831,2011-06-13,6,2,Home and kitchen,Furnishing,1,397,41.685,438.685,e-Shop
271614,1989-06-23,24,M,9.0,Ordered,1.0,144983693,2013-11-23,5,6,Books,DIY,3,743,234.045,2463.045,TeleShop
272016,1971-12-03,40,F,7.0,Ordered,1.0,151209307,2011-10-07,2,3,Footwear,Women,2,1443,303.03,3189.03,e-Shop
270998,1985-04-24,28,M,1.0,Ordered,1.0,155580963,2013-05-12,5,6,Books,DIY,4,577,242.34,2550.34,e-Shop
268633,1987-06-02,25,F,6.0,Canceled,0.0,156697409,2012-04-25,5,12,Books,Academic,-5,-1139,597.975,-6292.975,e-Shop
268633,1987-06-02,25,F,6.0,Ordered,0.0,156697409,2012-04-17,5,12,Books,Academic,5,1139,597.975,6292.975,e-Shop
274625,1980-07-28,32,M,1.0,Ordered,1.0,157736425,2012-02-11,5,3,Books,Comics,3,213,67.095,706.095,MBR
268845,1991-11-22,23,F,1.0,Ordered,1.0,163194840,2014-02-10,5,3,Books,Comics,4,1093,459.06,4831.06,Flagship store
274900,1977-05-17,35,M,9.0,Ordered,1.0,165168462,2012-04-18,6,10,Home and kitchen,Kitchen,3,417,131.355,1382.355,e-Shop
267450,1991-06-17,21,M,8.0,Ordered,1.0,165769899,2012-02-08,3,4,Electronics,Mobiles,5,753,395.325,4160.325,MBR
267991,1985-06-29,26,F,2.0,Ordered,1.0,171116851,2011-10-13,1,3,Clothing,Kids,1,1367,143.535,1510.535,e-Shop
272143,1992-10-28,21,F,3.0,Ordered,1.0,188992101,2013-07-15,4,4,Bags,Women,2,1392,292.32,3076.32,e-Shop
267760,1979-11-12,32,F,9.0,Ordered,1.0,189495917,2011-04-17,6,12,Home and kitchen,Tools,3,1022,321.93,3387.93,Flagship store
273731,1988-07-28,26,F,7.0,Ordered,1.0,194354511,2014-01-20,5,7,Books,Fiction,4,551,231.42,2435.42,Flagship store
268501,1974-10-19,39,M,5.0,Ordered,1.0,203539646,2013-05-12,4,1,Bags,Mens,1,321,33.705,354.705,e-Shop
273850,1977-04-03,34,M,5.0,Ordered,1.0,207144440,2011-10-15,3,10,Electronics,Audio and video,3,961,302.715,3185.715,Flagship store
270676,1970-06-19,43,M,5.0,Ordered,1.0,209435584,2013-12-29,3,5,Electronics,Computers,4,1229,516.18,5432.18,e-Shop
271613,1981-09-12,31,F,1.0,Ordered,1.0,216234375,2012-07-16,4,4,Bags,Women,1,268,28.14,296.14,MBR
267182,1989-10-18,22,M,1.0,Ordered,1.0,224649899,2011-10-12,5,12,Books,Academic,1,337,35.385,372.385,Flagship store
269424,1980-06-15,33,F,10.0,Ordered,1.0,225590919,2013-11-26,5,11,Books,Children,3,521,164.115,1727.115,e-Shop
272904,1987-05-24,25,F,5.0,Ordered,1.0,228053768,2012-10-21,5,11,Books,Children,3,1150,362.25,3812.25,TeleShop
267860,1988-11-29,23,M,7.0,Ordered,1.0,228335510,2011-01-29,1,3,Clothing,Kids,5,764,401.1,4221.1,Flagship store
268231,1990-05-28,22,M,5.0,Ordered,1.0,234608322,2012-05-23,6,11,Home and kitchen,Bath,5,1487,780.675,8215.675,e-Shop
269368,1979-12-22,34,F,9.0,Ordered,1.0,239004395,2013-05-12,5,7,Books,Fiction,5,969,508.725,5353.725,e-Shop
274608,1985-11-23,26,M,1.0,Ordered,1.0,246768105,2011-10-27,3,10,Electronics,Audio and video,5,1446,759.15,7989.15,TeleShop
269629,1972-10-05,40,M,6.0,Ordered,1.0,246815756,2012-07-25,3,8,Electronics,Personal Appliances,2,562,118.02,1242.02,Flagship store
270372,1983-04-20,29,F,1.0,Ordered,1.0,247315596,2012-12-10,2,1,Footwear,Mens,2,364,76.44,804.44,e-Shop
275119,1989-06-13,23,M,1.0,Ordered,1.0,256086669,2012-11-06,4,4,Bags,Women,3,153,48.195,507.195,e-Shop
269736,1988-07-12,25,M,8.0,Ordered,1.0,256199708,2013-06-26,2,1,Footwear,Mens,3,1310,412.65,4342.65,e-Shop
268931,1987-10-19,26,F,1.0,Canceled,0.0,265535637,2013-01-15,4,1,Bags,Mens,-1,-236,24.78,-260.78,Flagship store
268931,1987-10-19,26,F,1.0,Ordered,0.0,265535637,2013-01-08,4,1,Bags,Mens,1,236,24.78,260.78,Flagship store
271769,1977-05-28,35,F,1.0,Ordered,1.0,267147202,2012-02-21,2,1,Footwear,Mens,5,763,400.575,4215.575,MBR
272634,1992-08-05,19,M,4.0,Canceled,0.0,268218855,2011-07-24,4,4,Bags,Women,-5,-1129,592.725,-6237.725,TeleShop
272634,1992-08-05,19,M,4.0,Ordered,0.0,268218855,2011-07-16,4,4,Bags,Women,5,1129,592.725,6237.725,TeleShop
273453,1989-05-17,24,M,8.0,Ordered,1.0,271077902,2013-10-26,4,4,Bags,Women,2,1380,289.8,3049.8,e-Shop
274587,1982-12-06,30,M,8.0,Ordered,1.0,271564630,2012-07-15,6,12,Home and kitchen,Tools,1,767,80.535,847.535,e-Shop
267814,1977-03-17,35,F,7.0,Canceled,0.0,277893283,2012-01-31,4,1,Bags,Mens,-4,-1407,590.94,-6218.94,e-Shop
267814,1977-03-17,35,F,7.0,Ordered,0.0,277893283,2012-01-21,4,1,Bags,Mens,4,1407,590.94,6218.94,e-Shop
266831,1978-10-08,36,M,6.0,Ordered,1.0,283737262,2014-01-02,5,7,Books,Fiction,4,286,120.12,1264.12,TeleShop
268521,1982-03-23,29,F,9.0,Ordered,1.0,283833696,2011-04-22,6,10,Home and kitchen,Kitchen,5,646,339.15,3569.15,TeleShop
268392,1987-09-13,26,M,1.0,Ordered,1.0,286422298,2013-12-05,4,1,Bags,Mens,3,89,28.035,295.035,MBR
269883,1987-07-08,25,F,9.0,Canceled,0.0,296073900,2012-03-01,3,10,Electronics,Audio and video,-5,-169,88.725,-933.725,e-Shop
269883,1987-07-08,25,F,9.0,Ordered,0.0,296073900,2012-02-25,3,10,Electronics,Audio and video,5,169,88.725,933.725,e-Shop
269267,1980-11-16,32,M,7.0,Canceled,0.0,297276245,2012-06-02,5,11,Books,Children,-1,-72,7.56,-79.56,TeleShop
269267,1980-11-16,32,M,7.0,Ordered,0.0,297276245,2012-05-31,5,11,Books,Children,1,72,7.56,79.56,TeleShop
266992,1983-04-23,29,F,9.0,Ordered,1.0,303170923,2012-05-14,4,4,Bags,Women,3,1106,348.39,3666.39,e-Shop
266814,1982-10-18,30,F,9.0,Ordered,1.0,316988693,2012-03-03,3,8,Electronics,Personal Appliances,2,117,24.57,258.57,TeleShop
269888,1991-02-17,22,F,5.0,Ordered,1.0,317342885,2013-07-01,5,10,Books,Non-Fiction,2,550,115.5,1215.5,e-Shop
268852,1974-09-01,38,F,6.0,Ordered,1.0,319395876,2012-03-12,1,1,Clothing,Women,2,558,117.18,1233.18,TeleShop
269535,1978-02-19,33,M,3.0,Ordered,1.0,325812866,2011-01-27,6,11,Home and kitchen,Bath,2,966,202.86,2134.86,e-Shop
270347,1982-07-27,29,F,8.0,Ordered,1.0,328153385,2011-06-13,5,3,Books,Comics,3,699,220.185,2317.185,MBR
270544,1979-05-24,34,M,6.0,Ordered,1.0,339232443,2013-03-01,5,6,Books,DIY,1,1328,139.44,1467.44,MBR
271882,1992-06-17,20,F,9.0,Ordered,1.0,340294477,2012-09-15,5,12,Books,Academic,3,1027,323.505,3404.505,TeleShop
