id,type,state,created_at,updated_at,title,description,close_at,total_class_hours,keywords
214903,COURSE,ONGOING,2022-12-27 1:33,2022-12-27 1:33,(B2G) K-Di-214903,NULL,NULL,NULL,NULL
214898,COURSE,ONGOING,2022-12-26 12:25,2022-12-26 12:25,(B2G) K-Di-214898,NULL,NULL,NULL,NULL
214897,COURSE,ONGOING,2022-12-26 12:20,2022-12-26 12:20,(B2G) K-Di-214897,NULL,NULL,NULL,NULL
214896,COURSE,ONGOING,2022-12-26 12:17,2022-12-26 12:17,(B2G) K-Di-214896,NULL,NULL,NULL,NULL
214895,COURSE,ONGOING,2022-12-26 12:14,2022-12-26 12:14,(B2G) K-Di-214895,NULL,NULL,NULL,NULL
214894,COURSE,ONGOING,2022-12-26 12:10,2022-12-26 12:10,(B2G) K-Di-214894,,NULL,53,
214893,COURSE,ONGOING,2022-12-26 12:07,2022-12-26 12:07,(B2G) K-Di-214893,NULL,NULL,NULL,NULL
214892,COURSE,ONGOING,2022-12-26 12:04,2022-12-26 12:04,(B2G)K-Dig-214892,NULL,NULL,NULL,NULL
214891,COURSE,ONGOING,2022-12-26 12:01,2022-12-26 12:01,(B2G)K-Dig-214891,NULL,NULL,NULL,NULL
214889,COURSE,ONGOING,2022-12-26 11:51,2022-12-26 11:51,(B2G) K-Di-214889,NULL,NULL,NULL,NULL
214888,COURSE,ONGOING,2022-12-26 11:43,2023-01-11 5:20,(B2G) K-Di-214888,NULL,NULL,NULL,NULL
214887,COURSE,ONGOING,2022-12-26 11:34,2022-12-26 11:34,(B2G) K-Di-214887,NULL,NULL,40,NULL
214886,COURSE,ONGOING,2022-12-26 11:30,2022-12-26 11:30,(B2G) K-Di-214886,NULL,NULL,61,NULL
214885,COURSE,ONGOING,2022-12-26 10:55,2022-12-26 10:55,(B2G) K-Di-214885,NULL,NULL,75,NULL
214884,COURSE,ONGOING,2022-12-26 10:49,2022-12-26 10:49,(B2G) K-Di-214884,NULL,NULL,NULL,NULL
214883,COURSE,ONGOING,2022-12-26 9:43,2022-12-26 9:43,(B2G) K-Di-214883,NULL,NULL,33,NULL
214834,COURSE,ONGOING,2022-12-20 5:50,2023-11-20 1:17,네오아카데미 : 오-214834,뛰어난 묘사와 구성,NULL,26,"오카즈,판타지,게임,일러스트,그림,드로잉,네오아카데미,캐릭터,디자인,네오,세계관"
214833,COURSE,ONGOING,2022-12-20 5:47,2023-11-20 1:17,네오아카데미 : 후-214833,특별한 색채감과 빛,NULL,17,"후와리,라이트노벨,캐주얼,일러스트,캐릭터,CG일러스트,라이트,노벨,네오아카데미,네오,게임일러스트"
214587,COURSE,ONGOING,2022-12-15 1:34,2024-01-05 7:12,Solana & R-214587,60시간의 커리큘럼,NULL,61,NULL
214561,COURSE,HIDDEN,2022-12-13 0:19,2023-08-11 9:11,Solana&Rus-214561,앵콜 무료!! So,NULL,9,"Solana,솔라나,SOLANA,solana,Rust,RUST,rust,솔라나강의,러스트강의,암호화폐,웹3,WEB3,web3,클론코딩,프로그래밍,블록체인취업,blockchain,무료,무료강의,무료 강의"
214558,COURSE,ONGOING,2022-12-12 7:13,2024-01-25 18:03,입문자를 위한 풀스-214558,나만의 프로젝트를 ,NULL,95,"입문,풀스택,웹개발,프로젝트,프론트엔드,Frontend,JS,자바스크립트,JavaScript,React,Node. 노드,Node.js. React,리액트,HTML,상태관리,테스트"
214540,COURSE,ONGOING,2022-12-09 8:07,2022-12-09 8:09,(B2G) K-Di-214540,NULL,NULL,NULL,NULL
214506,COURSE,ONGOING,2022-12-05 8:08,2022-12-05 8:08,(B2G) K-Di-214506,NULL,NULL,NULL,NULL
214504,COURSE,ONGOING,2022-12-05 7:54,2022-12-05 7:54,(B2B) K-Di-214504,,NULL,34,
214503,COURSE,ONGOING,2022-12-05 7:46,2022-12-05 7:46,(B2G)K-Dig-214503,NULL,NULL,NULL,NULL
214502,COURSE,ONGOING,2022-12-05 7:40,2022-12-05 7:40,(B2G)K-Dig-214502,NULL,NULL,NULL,NULL
214501,COURSE,ONGOING,2022-12-05 7:35,2022-12-05 7:35,(B2G) K-Di-214501,NULL,NULL,NULL,NULL
214500,COURSE,ONGOING,2022-12-05 7:31,2022-12-05 7:31,(B2G) K-Di-214500,NULL,NULL,NULL,NULL
214499,COURSE,ONGOING,2022-12-05 7:27,2022-12-05 7:27,(B2G) K-Di-214499,,NULL,53,
214498,COURSE,ONGOING,2022-12-05 7:23,2022-12-05 7:23,(B2G) K-Di-214498,NULL,NULL,NULL,NULL
214497,COURSE,ONGOING,2022-12-05 6:56,2022-12-05 6:56,(B2G) K-Di-214497,NULL,NULL,NULL,NULL
214496,COURSE,ONGOING,2022-12-05 6:50,2023-12-14 1:49,한 번에 끝내는 자-214496,자연어 처리 기본기,NULL,66,"자연어처리,NLP,BERT,TRANSFORMER,HUGGINGFACE,자연어처리기초,자연어처리입문,자연어처리 기초,자연어처리 입문,자연어처리 알고리즘,자연어,nlg,klue"
214495,COURSE,ONGOING,2022-12-05 6:36,2022-12-05 6:36,(B2G) K-Di-214495,NULL,NULL,NULL,NULL
214494,COURSE,ONGOING,2022-12-05 6:07,2022-12-05 6:07,(B2G) K-Di-214494,NULL,NULL,19,NULL
214402,COURSE,ONGOING,2022-11-29 7:07,2023-11-29 9:02,빵형의 수학 없이 -214402,직접 AI 모델을 ,NULL,12,"인공지능,AI,머신러닝,인공지능기초,인공지능모델구현,인공지능왕초보,인공지능모델,인공지능입문,AI기초,AI입문,딥러닝,딥러닝기초,딥러닝입문"
214383,COURSE,HIDDEN,2022-11-28 6:26,2023-08-17 4:29,한 번에 끝내는 J-214383,Spring 핵심 ,NULL,79,"자바,스프링,프로젝트,코틀린,배달앱,백엔드,배민,배달,웹,backend,server,서버,데이터베이스,db,MSA,마이크로서비스,백엔드입문,백엔드기초,웹서버,redis,kafka,rabbitmq,elk,모니터링,docker,도커,springcloud,springsecurity,springboot,springdata,스프링시큐리티,스프링클라우드,스프링부트,mvc,restapi,기본기"
214323,COURSE,ONGOING,2022-11-24 9:18,2023-11-30 6:37,[쉐어엑스]플러스엑-214323,프로젝트 매니지먼트,NULL,10,"PLUSX	, UXPACK	, PROCESS	, 플엑	, 플러스엑스	, ux	, UX	, PlusX"
214322,COURSE,ONGOING,2022-11-24 9:17,2023-11-30 6:35,[쉐어엑스]플러스엑-214322,UX 디자인 프로세,NULL,3,"PLUSX	, UX1	, UNDERSTANDING	, 플러스엑스	, 플엑	, UX	, ux	, PlusX	,"
214321,COURSE,ONGOING,2022-11-24 9:16,2023-11-30 6:34,[쉐어엑스]플러스엑-214321,이번 강의에서는 사,NULL,4,"PLUSX	, UX2	, REASEARCHING	, 플러스엑스	, 플엑	, UX	, ux"
214320,COURSE,ONGOING,2022-11-24 9:14,2023-11-30 6:32,[쉐어엑스]플러스엑-214320,이번 강의에서는 아,NULL,4,"PLUSX	, UX3	, BUILDING	, 플러스엑스	, ux	, 유엑스"
214319,COURSE,ONGOING,2022-11-24 9:12,2023-12-18 5:41,[쉐어엑스]플러스엑-214319,플러스엑스 UX 팀,NULL,1,"PLUSX	, UXOT	, FREE	, 유엑스	, UX	, 플엑	, 플러스엑스	, 무료강의	, 무료"
214302,COURSE,ONGOING,2022-11-23 7:42,2023-11-20 0:40,AWS/GCP/Az-214302,"AWS, GCP, ",NULL,58,"AWS,GCP,Azure,구글클라우드,애저,구글,클라우드,파이프라인,멀티클라우드,멀티 클라우드,퍼블릭클라우드,퍼블릭 클라우드,데이터 파이프라인,데이터 파이프라인 구축,배치,스트림,spark,flink,s3,배치 파이프라인,하이브리드,하이브리드클라우드"
214298,COURSE,ONGOING,2022-11-22 5:48,2023-11-20 0:40,랜선사수 피도리와 -214298,누구나 쉽고 빠르게,NULL,9,"PPT,피피티,초보자,피피티기초,파워포인트,피피티실무,피도리"
214297,COURSE,ONGOING,2022-11-22 4:13,2022-11-22 4:13,(B2G) K-Di-214297,NULL,NULL,61,NULL
214296,COURSE,ONGOING,2022-11-22 4:12,2022-11-22 4:12,(B2G) K-Di-214296,NULL,NULL,33,NULL
214294,COURSE,ONGOING,2022-11-22 2:41,2022-11-22 2:41,(B2G) K-Di-214294,NULL,NULL,40,NULL
214032,COURSE,ONGOING,2022-11-16 8:51,2023-11-20 1:17,네오아카데미 : 3-214032,네오아카데미 대표 ,NULL,36,"네오아카데미,완케,프로피,설,드로잉기초,캐릭터디자인,색감기초와채색,캐주얼일러스트,포토샵,일러스트스킬,드로잉브러시,단계별PSD,아트디렉터kit,게임그래픽,일러스트레이터,아트디렉터,설ㅤ"
214013,COURSE,ONGOING,2022-11-15 8:26,2023-11-20 1:18,네오아카데미 : 설-214013,실력과 트렌드를 갖,NULL,12,"네오,설,일러스트,그림,캐주얼,컬러,색감,네오아카데미,드로잉,감성,일러스트시연,파스텔톤,단계별PSD제공,설ㅤ"
213981,COURSE,ONGOING,2022-11-10 7:22,2023-11-20 0:40,The RED : -213981,이병률이 에세이 창,NULL,7,"이병률,글쓰기,에세이,여행,여행에세이,아포리즘,논픽션,끌림,작가,데뷔,투고,문예창작,이병률글쓰기,출판,베스트셀러,창작법,작품,문장"
213944,COURSE,HIDDEN,2022-11-07 9:11,2023-04-17 2:35,패스트캠퍼스 개발 -213944,매월 마지막주 수요,NULL,3,"무료세미나, TDD, 리팩토링, 테크컨퍼런스, RED, 커리어, DDAY, 디데이, 네카라쿠배, 테스트주도개발, 이너써클, 이너서클, INNERCIRCLE"
213935,COURSE,ONGOING,2022-11-07 7:07,2022-11-16 4:40,(B2G)K-Dig-213935,NULL,NULL,NULL,NULL
213933,COURSE,ONGOING,2022-11-07 6:24,2022-11-16 4:34,(B2G)K-Dig-213933,NULL,NULL,NULL,NULL
213932,COURSE,ONGOING,2022-11-07 6:19,2022-11-16 2:35,(B2G) K-Di-213932,NULL,NULL,NULL,NULL
