id,type,state,created_at,updated_at,user_id,course_id,amount,tax_free_amount
72124,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 7:29,2022-12-30 7:29,619833,214323,-20000,-20000
72121,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 7:01,2022-12-30 7:01,146614,213905,-10000,-10000
72119,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 6:08,2022-12-30 6:08,541404,214402,0,0
72117,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 6:00,2022-12-30 6:00,1056095,203935,-10000,-10000
72116,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:57,2022-12-30 5:57,98880,213244,-20000,-20000
72111,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:53,2022-12-30 5:53,1072741,211087,-10000,-10000
72110,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:48,2022-12-30 5:48,769817,211368,-10000,-10000
72109,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:40,2022-12-30 5:40,1010380,208104,-10000,-10000
72108,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:35,2022-12-30 5:35,1072475,214323,-20000,-20000
72107,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:35,2022-12-30 5:35,856396,205949,-20000,-20000
72105,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:23,2022-12-30 5:23,103549,210396,-20000,-20000
72103,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:14,2022-12-30 5:14,1072709,214323,-20000,-20000
72102,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:11,2022-12-30 5:11,956366,214323,-20000,-20000
72101,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:08,2022-12-30 5:08,1072657,203525,-20000,-20000
72100,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 5:06,2022-12-30 5:06,1072610,210396,-20000,-20000
72097,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 4:41,2022-12-30 4:41,1071731,212600,-20000,-20000
72096,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 4:41,2022-12-30 4:41,1071731,214032,-20000,-20000
72095,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 4:38,2022-12-30 4:38,364626,211227,-20000,-20000
72093,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 4:37,2022-12-30 4:37,1068955,210569,-10000,-10000
72092,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 4:36,2022-12-30 4:36,1068955,205569,-10000,-10000
72090,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 4:35,2022-12-30 4:35,970585,214032,-50000,-50000
72086,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:59,2022-12-30 2:59,921142,205162,-10000,-10000
72085,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:57,2022-12-30 2:57,1063211,210524,-10000,-10000
72084,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:56,2022-12-30 2:56,1066574,214833,0,0
72083,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:56,2022-12-30 2:56,1066574,212600,-20000,-20000
72081,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:55,2022-12-30 2:55,1071957,213752,0,0
72080,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:54,2022-12-30 2:54,1071957,213315,-10000,-10000
72072,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:27,2022-12-30 2:27,609001,212086,-20000,-20000
72065,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:15,2022-12-30 2:15,172032,206742,-40000,-40000
72063,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:11,2022-12-30 2:11,1072412,214322,0,0
72062,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:09,2022-12-30 2:09,1068969,214845,-20000,-20000
72061,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:08,2022-12-30 2:08,1071467,213315,-10000,-10000
72060,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:07,2022-12-30 2:07,1071043,204373,-10000,-10000
72058,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:05,2022-12-30 2:05,1072043,214322,-10000,-10000
72057,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:05,2022-12-30 2:05,1072043,214321,-10000,-10000
72056,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 2:05,2022-12-30 2:05,1072043,214320,-10000,-10000
72048,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:32,2022-12-30 1:32,1071860,212598,-20000,-20000
72047,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:27,2022-12-30 1:27,1057521,208963,-30000,-30000
72046,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:26,2022-12-30 1:26,1057521,207099,-20000,-20000
72045,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:24,2022-12-30 1:24,296198,210323,-10000,-10000
72043,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:19,2022-12-30 1:19,1071913,214834,0,0
72042,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:18,2022-12-30 1:18,1068697,214833,-20000,-20000
72041,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:15,2022-12-30 1:15,965563,213706,0,0
72040,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:15,2022-12-30 1:15,965563,214833,-20000,-20000
72039,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:11,2022-12-30 1:11,1027037,213604,-10000,-10000
72037,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:06,2022-12-30 1:06,1072054,214383,0,0
72036,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 1:03,2022-12-30 1:03,831707,214833,-20000,-20000
72034,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:50,2022-12-30 0:50,1066556,NULL,-30000,0
72033,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:48,2022-12-30 0:48,1071522,212598,0,0
72032,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:48,2022-12-30 0:48,1071522,212600,-20000,-20000
72031,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:46,2022-12-30 0:46,1071838,213315,-10000,-10000
72030,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:41,2022-12-30 0:41,414375,205569,-10000,-10000
72029,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:38,2022-12-30 0:38,1063796,214383,0,0
72027,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:35,2022-12-30 0:35,1071828,204491,-20000,-20000
72025,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:32,2022-12-30 0:32,1071793,206181,-20000,-20000
72023,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:31,2022-12-30 0:31,717344,206720,-20000,-20000
72021,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:27,2022-12-30 0:27,948151,214833,-20000,-20000
72017,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:24,2022-12-30 0:24,1072269,213294,-10000,-10000
72016,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:20,2022-12-30 0:20,994059,213315,-10000,-10000
72015,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:20,2022-12-30 0:20,1068694,212600,-20000,-20000
72014,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:20,2022-12-30 0:20,1068694,213706,-20000,-20000
72012,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:20,2022-12-30 0:20,1068694,212599,-10000,-10000
72010,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:18,2022-12-30 0:18,383705,203523,-20000,-20000
72009,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:18,2022-12-30 0:18,1071043,210512,-10000,-10000
72007,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:17,2022-12-30 0:17,383705,214323,-20000,-20000
72005,ADMIN_AUTO_REFUND,COMPLETED,2022-12-30 0:15,2022-12-30 0:15,383705,210396,-30000,-30000
72002,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 9:10,2022-12-29 9:10,178815,212587,-30000,-30000
72001,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 9:08,2022-12-29 9:08,994059,213315,-10000,-10000
71998,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 9:00,2022-12-29 9:00,650433,208963,-30000,-30000
71984,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 7:48,2022-12-29 7:48,1045201,213450,-10000,-10000
71972,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 7:16,2022-12-29 7:16,952132,213752,-20000,-20000
71970,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 6:59,2022-12-29 6:59,153604,213723,-20000,-20000
71962,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 6:21,2022-12-29 6:21,637496,214833,-20000,-20000
71961,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 6:19,2022-12-29 6:19,1071451,212599,-10000,-10000
71960,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 6:08,2022-12-29 6:08,1071298,213752,-10000,-10000
71959,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 6:05,2022-12-29 6:05,1071398,213706,-20000,-20000
71958,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 5:52,2022-12-29 5:52,1071332,205570,-10000,-10000
71956,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 5:51,2022-12-29 5:51,286128,214323,-20000,-20000
71955,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 5:49,2022-12-29 5:49,1071353,209673,-10000,-10000
71951,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 5:36,2022-12-29 5:36,119546,211606,-10000,-10000
71940,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:46,2022-12-29 4:46,924852,211368,-20000,-20000
71939,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:42,2022-12-29 4:42,1071267,212599,-10000,-10000
71938,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:38,2022-12-29 4:38,1060543,214322,0,0
71937,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:37,2022-12-29 4:37,503550,206331,-20000,-20000
71936,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 4:27,2022-12-29 4:27,1067949,211867,-30000,-30000
71935,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 2:56,2022-12-29 2:56,1071196,205625,-10000,-10000
71934,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 2:29,2022-12-29 2:29,1066953,203655,-30000,-30000
71933,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 1:35,2022-12-29 1:35,89154,211867,-20000,-20000
71932,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 1:27,2022-12-29 1:27,1068996,206331,-10000,-10000
71928,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 1:15,2022-12-29 1:15,1066268,214833,-20000,-20000
71927,ADMIN_AUTO_REFUND,COMPLETED,2022-12-29 1:13,2022-12-29 1:13,1071079,212598,-20000,-20000
